recvTime,fiwareServicePath,entityId,entityType,attrName,attrType,attrValue
2023-01-25T10:11:54.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-25T10:11:54.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-25T10:23:28.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-25T12:43:37.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-25T12:43:37.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-25T12:51:13.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-25T15:10:58.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-25T15:10:58.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-25T15:18:13.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-25T17:39:20.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-25T17:39:20.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-25T17:46:48.701Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-26T10:14:35.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-26T10:14:35.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-26T10:24:49.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-26T12:49:34.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-26T12:49:34.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-26T13:01:19.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-26T15:40:25.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-26T15:40:25.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-26T15:49:46.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-26T18:19:32.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-26T18:19:32.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-26T18:33:58.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-26T21:18:41.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-26T21:18:41.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-26T21:33:33.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-26T23:57:49.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-26T23:57:49.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-27T00:08:24.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-27T02:25:04.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
2023-01-27T02:25:04.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Trimming 3
2023-01-27T02:38:57.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,Finished
2023-01-27T05:02:53.704Z,/,urn:ngsi-ld:Axis:006,IOT,start,Text,
