recvTime,fiwareServicePath,entityId,entityType,attrName,attrType,attrValue
2023-01-25T08:32:29.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-25T08:32:29.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-25T08:41:02.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-25T11:09:03.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-25T11:09:03.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-25T11:17:33.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-25T13:37:42.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-25T13:37:42.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-25T13:47:39.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-25T15:58:53.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-25T15:58:53.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-25T16:07:14.701Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-26T08:35:03.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-26T08:35:03.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-26T08:43:45.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-26T11:12:47.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-26T11:12:47.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-26T11:23:12.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-26T13:54:49.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-26T13:54:49.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-26T14:09:18.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-26T16:41:17.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-26T16:41:17.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-26T16:48:39.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-26T19:33:53.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-26T19:33:53.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-26T19:44:28.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-26T22:16:57.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-26T22:16:57.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-26T22:30:40.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-27T00:53:44.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-27T00:53:44.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
2023-01-27T01:06:08.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Finished
2023-01-27T03:21:56.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,
2023-01-27T03:21:56.704Z,/,urn:ngsi-ld:Axis:002,IOT,start,Text,Trimming 1
